Experience,Education,Location,Job_Title,Skills,Salary
9,Master,Pune,Frontend Developer,CSS|HTML,1020698
5,PhD,Mumbai,DevOps Engineer,JavaScript,895781
13,Master,Hyderabad,Web Developer,JavaScript,1266175
15,Master,Chennai,Frontend Developer,Node.js|JavaScript,1384633
15,Master,Pune,ML Engineer,C++|Python|SQL|JavaScript,1542374
9,Master,Hyderabad,Web Developer,Flask|CSS,1029780
3,Master,Hyderabad,Frontend Developer,SQL|Django,677743
2,Bachelor,Hyderabad,Web Developer,SQL|Java,555235
5,PhD,Bangalore,ML Engineer,HTML|Django,955131
4,Master,Bangalore,Software Engineer,React|HTML|CSS|C++,756712
12,Bachelor,Mumbai,Frontend Developer,HTML|C++|Django,1166195
4,Master,Pune,DevOps Engineer,Django|C++|CSS|JavaScript|Flask,882044
14,Master,Delhi,Backend Developer,Node.js|HTML,1348792
7,Bachelor,Bangalore,Data Scientist,SQL|Java|Django|CSS,952145
2,PhD,Chennai,Web Developer,SQL|Python|React,732597
3,Bachelor,Hyderabad,Software Engineer,HTML|C++|Flask|Python|CSS,645817
5,PhD,Delhi,Data Scientist,CSS|Flask|JavaScript|SQL,1018780
0,Bachelor,Hyderabad,Backend Developer,Django,399015
5,Master,Chennai,Web Developer,Django|Java|CSS,806288
13,Bachelor,Chennai,Web Developer,JavaScript|Flask|Django,1207827
10,PhD,Hyderabad,DevOps Engineer,HTML|Java|Python,1242568
6,PhD,Delhi,Software Engineer,Java|Flask|JavaScript|React,977749
8,Master,Pune,DevOps Engineer,HTML|SQL|JavaScript|Flask,1075934
11,Bachelor,Pune,Web Developer,Flask|React|Java|Node.js|SQL,1165224
2,Bachelor,Mumbai,Software Engineer,C++|React,515323
4,Bachelor,Mumbai,Frontend Developer,CSS|Flask|HTML|Python|C++,733247
8,Master,Delhi,Data Scientist,C++|React|Django,1077179
5,Master,Delhi,ML Engineer,JavaScript|Node.js|Java,938527
0,Bachelor,Bangalore,ML Engineer,JavaScript,494104
4,Bachelor,Delhi,Data Scientist,HTML|Java|Python|Django|React,821199
7,PhD,Mumbai,Data Scientist,C++,1029637
13,Master,Mumbai,ML Engineer,SQL,1342927
0,Master,Chennai,Software Engineer,HTML,447154
1,Master,Hyderabad,Web Developer,Java|SQL,556652
9,Master,Delhi,Backend Developer,C++|Python,1052156
10,PhD,Hyderabad,DevOps Engineer,Flask,1222592
1,Bachelor,Bangalore,Software Engineer,HTML|Flask|Django|CSS,496660
4,Bachelor,Pune,Backend Developer,JavaScript|Flask|CSS|Python|HTML,741437
10,Bachelor,Delhi,Frontend Developer,HTML|Flask,1014847
6,Master,Mumbai,Frontend Developer,Django|C++|Flask|HTML|Python,923409
1,Master,Delhi,Data Scientist,C++|React|Node.js,661522
13,Bachelor,Bangalore,ML Engineer,C++|CSS,1311213
14,Master,Mumbai,Frontend Developer,CSS|Java|Django|Flask,1407211
13,PhD,Bangalore,Backend Developer,SQL|C++,1372426
6,Master,Chennai,Data Scientist,Java|JavaScript|Flask|Django|HTML,1008384
8,Bachelor,Bangalore,Frontend Developer,Node.js|SQL|Django|React,956616
5,PhD,Bangalore,Data Scientist,HTML,918209
9,Bachelor,Chennai,DevOps Engineer,Python|JavaScript|CSS,1042175
11,Bachelor,Chennai,Web Developer,Java|Node.js|Python|JavaScript|HTML,1166020
15,Bachelor,Delhi,Web Developer,Django|Python,1310578
3,Master,Chennai,DevOps Engineer,Python|SQL|C++|Django|JavaScript,800798
12,Bachelor,Delhi,DevOps Engineer,Django|CSS|Java|React|JavaScript,1263625
13,Master,Mumbai,Software Engineer,Flask|HTML|CSS|Python,1304870
11,Bachelor,Bangalore,DevOps Engineer,JavaScript|Python|Flask|CSS|Django,1200548
3,Bachelor,Mumbai,ML Engineer,SQL,658839
3,Bachelor,Hyderabad,Frontend Developer,Node.js|HTML|JavaScript,614865
15,Master,Bangalore,Frontend Developer,Flask|SQL|Python,1418724
6,Master,Chennai,Backend Developer,Java|C++|Python|Flask|React,950420
2,PhD,Chennai,DevOps Engineer,SQL|React,763215
0,Master,Delhi,Data Scientist,C++|Java,560300
11,Bachelor,Bangalore,DevOps Engineer,Python|Java|React|Django|JavaScript,1217301
9,Master,Chennai,Data Scientist,C++,1087745
2,Master,Bangalore,Backend Developer,SQL|JavaScript|Python|Node.js,665908
4,Master,Chennai,Software Engineer,React|Python|C++|HTML|Django,799630
6,PhD,Chennai,Backend Developer,Java|CSS|HTML|Flask,991974
10,PhD,Delhi,ML Engineer,Node.js|CSS|React|Django,1304995
10,Bachelor,Hyderabad,Data Scientist,Python|C++,1095937
2,Master,Mumbai,Backend Developer,SQL,623026
10,Master,Hyderabad,Software Engineer,Java|HTML|SQL|Flask|Django,1136207
14,Master,Pune,ML Engineer,Django|Python|Flask|Java,1482536
1,Bachelor,Bangalore,DevOps Engineer,Python|Django|HTML|JavaScript,599343
4,Master,Pune,Frontend Developer,Flask|SQL|Django|Python,790337
7,PhD,Mumbai,Backend Developer,Python|C++|Java,1031224
15,Bachelor,Chennai,Backend Developer,CSS|SQL,1338978
15,Bachelor,Pune,Backend Developer,Django|Node.js|HTML,1349013
9,PhD,Delhi,DevOps Engineer,CSS|Django|Python|C++,1218829
8,Master,Chennai,Software Engineer,React|Java|Node.js|Flask|HTML,1048667
4,PhD,Hyderabad,ML Engineer,Node.js|CSS|Flask,930078
5,PhD,Mumbai,Software Engineer,Python|C++|Django|Node.js|Java,917164
11,Master,Bangalore,Backend Developer,HTML,1128939
13,Master,Mumbai,Frontend Developer,JavaScript|HTML,1291682
8,PhD,Pune,ML Engineer,Python|React,1166867
3,PhD,Chennai,Web Developer,Node.js|SQL,756922
0,PhD,Chennai,Backend Developer,Flask|Python|JavaScript|Java,616282
5,PhD,Mumbai,DevOps Engineer,C++,907314
7,Bachelor,Mumbai,Frontend Developer,Flask|CSS|JavaScript,868685
2,PhD,Delhi,ML Engineer,Python|C++|CSS,806649
3,PhD,Delhi,Data Scientist,C++|Django|Python|Flask,894455
11,Bachelor,Hyderabad,Backend Developer,Flask|JavaScript|Django|C++|HTML,1170527
11,PhD,Hyderabad,Backend Developer,Flask,1233694
12,PhD,Pune,Frontend Developer,JavaScript|CSS|C++|Java|Django,1379907
10,PhD,Pune,DevOps Engineer,C++|JavaScript,1241818
14,PhD,Chennai,Data Scientist,React,1466800
7,PhD,Bangalore,Frontend Developer,Python|SQL|React,1033749
9,Bachelor,Pune,Software Engineer,JavaScript|SQL|React|HTML|Java,1009889
4,Bachelor,Mumbai,Software Engineer,SQL|Flask|React|Java,703304
2,PhD,Pune,Backend Developer,Node.js|HTML,687929
0,PhD,Bangalore,Software Engineer,CSS|HTML|Python,594631
6,Master,Chennai,Web Developer,Flask|React|HTML|CSS|Java,945931
12,PhD,Mumbai,Backend Developer,React,1259172
2,PhD,Pune,Frontend Developer,Node.js|Python|SQL|C++|JavaScript,780530
7,Bachelor,Hyderabad,Software Engineer,Python|CSS|Django|Java,850445
5,PhD,Mumbai,Software Engineer,React|SQL|Flask|Python,899414
2,Master,Chennai,Web Developer,SQL|Node.js|Python,630921
10,PhD,Pune,Backend Developer,Node.js,1135972
10,Bachelor,Pune,ML Engineer,Java|Python,1101755
1,Master,Pune,DevOps Engineer,Node.js|Flask,605050
11,PhD,Hyderabad,ML Engineer,Java|Django,1337878
9,Bachelor,Bangalore,Web Developer,C++|Java|Python|SQL,991344
10,Master,Bangalore,Data Scientist,SQL|Java|JavaScript,1214487
3,PhD,Mumbai,ML Engineer,SQL|HTML|Node.js|C++,907669
11,Bachelor,Bangalore,Frontend Developer,SQL|Django|HTML,1090145
14,Master,Chennai,Software Engineer,Python|Django|Java|JavaScript|SQL,1397677
10,Bachelor,Mumbai,ML Engineer,JavaScript,1076444
0,Bachelor,Delhi,ML Engineer,Node.js|SQL|Django|CSS|Flask,584060
15,PhD,Mumbai,Data Scientist,Django|JavaScript,1544701
10,Master,Delhi,Data Scientist,JavaScript|SQL|HTML|CSS|C++,1251128
10,Bachelor,Hyderabad,Web Developer,CSS|Java|HTML|Python|JavaScript,1097690
2,PhD,Hyderabad,DevOps Engineer,Django,737700
14,PhD,Delhi,Software Engineer,Java|Flask|React|Python,1445669
4,Bachelor,Pune,ML Engineer,CSS|Python,760162
12,Bachelor,Mumbai,Software Engineer,HTML|SQL,1101593
10,PhD,Mumbai,Frontend Developer,C++|JavaScript|Python|SQL|HTML,1245638
15,PhD,Bangalore,ML Engineer,HTML|SQL|CSS,1605239
9,Bachelor,Bangalore,ML Engineer,Node.js,1035903
14,PhD,Delhi,Data Scientist,HTML|Flask,1479986
14,PhD,Hyderabad,Web Developer,Flask|Python|CSS,1447561
14,Bachelor,Pune,Web Developer,React|SQL|Python|HTML,1329638
0,PhD,Mumbai,DevOps Engineer,SQL,596337
4,Master,Delhi,ML Engineer,React,801342
3,PhD,Mumbai,DevOps Engineer,JavaScript|SQL,806836
4,Bachelor,Hyderabad,Data Scientist,Node.js|C++|Java,775014
8,PhD,Hyderabad,ML Engineer,HTML|Django|React,1178686
9,Bachelor,Pune,Frontend Developer,Python,915621
1,PhD,Chennai,Backend Developer,Flask|Django|React|Python,705689
12,Master,Bangalore,ML Engineer,Django|CSS|Java|HTML|SQL,1380117
12,Master,Chennai,ML Engineer,C++|Flask|JavaScript,1340761
12,Bachelor,Bangalore,Web Developer,JavaScript|Node.js|Django|HTML,1171292
7,Bachelor,Hyderabad,DevOps Engineer,HTML|C++|Python,923993
5,Bachelor,Mumbai,ML Engineer,Flask|React,836814
5,Bachelor,Hyderabad,Software Engineer,Node.js|CSS|Python,719116
12,Master,Bangalore,Software Engineer,JavaScript|HTML|Java|Node.js|Python,1268795
0,Master,Delhi,Software Engineer,JavaScript|Node.js|Java|React|SQL,571150
8,PhD,Delhi,Software Engineer,Flask|Java|Django|CSS|React,1124921
5,Master,Delhi,DevOps Engineer,HTML,854980
11,Master,Chennai,Frontend Developer,HTML|React,1149156
2,PhD,Bangalore,Software Engineer,CSS|Flask|Django,676071
8,Master,Hyderabad,Software Engineer,Flask|C++|HTML|JavaScript|Java,1046816
8,Master,Hyderabad,Web Developer,Django|JavaScript|Flask|SQL,1020126
0,PhD,Hyderabad,DevOps Engineer,CSS|Flask|HTML|SQL|Django,707092
2,Master,Hyderabad,Frontend Developer,React|CSS|Node.js|Python,672227
1,Bachelor,Mumbai,Frontend Developer,Node.js|C++|HTML|Python,527563
11,Master,Delhi,ML Engineer,React|Flask|Node.js|Django|HTML,1328400
13,Master,Chennai,DevOps Engineer,SQL|CSS|Node.js,1348594
8,Master,Mumbai,Frontend Developer,C++,942481
3,Master,Mumbai,DevOps Engineer,Java|SQL|Django,749956
12,Bachelor,Chennai,Software Engineer,Python|Django|Node.js,1154639
1,PhD,Pune,DevOps Engineer,Python|Django|Node.js|SQL|Java,772696
8,Bachelor,Pune,Frontend Developer,CSS|Node.js,894289
1,Bachelor,Hyderabad,Web Developer,Node.js|Java|React|Python,536232
6,PhD,Delhi,DevOps Engineer,Java|Django,1007431
9,PhD,Chennai,Software Engineer,SQL|Java,1091378
10,PhD,Pune,Frontend Developer,CSS|Node.js|SQL|Python|HTML,1259583
11,PhD,Delhi,ML Engineer,HTML|Java|React|CSS|JavaScript,1406453
0,Bachelor,Chennai,Frontend Developer,Django|Flask|C++,443297
10,Master,Mumbai,DevOps Engineer,Python,1145868
2,Master,Delhi,Backend Developer,JavaScript|Java|C++,654291
8,PhD,Pune,Data Scientist,JavaScript|C++|React|Node.js,1189700
10,Bachelor,Bangalore,Backend Developer,Python|Node.js|JavaScript|CSS,1080342
12,Bachelor,Pune,Backend Developer,JavaScript|Django|C++|Flask|React,1232352
9,Bachelor,Bangalore,DevOps Engineer,Java|CSS,1024545
8,Master,Delhi,Web Developer,React,969139
5,Master,Pune,Data Scientist,React|Django,862558
3,PhD,Bangalore,Frontend Developer,CSS,719002
4,Master,Delhi,DevOps Engineer,Flask|C++|CSS|Node.js,856181
7,Master,Bangalore,Frontend Developer,JavaScript|Django|Python,949516
14,PhD,Hyderabad,Frontend Developer,React|JavaScript|SQL|Python|Java,1484454
8,PhD,Bangalore,Frontend Developer,CSS|React|Node.js,1067199
12,Master,Mumbai,Backend Developer,CSS,1205889
11,Master,Pune,Frontend Developer,Django|Python|React|Node.js,1215876
8,Master,Mumbai,Frontend Developer,Flask|C++,999958
15,PhD,Mumbai,Data Scientist,Java|Django|C++,1560710
7,Master,Bangalore,Software Engineer,Flask|JavaScript|CSS|HTML,950959
3,Bachelor,Hyderabad,Web Developer,SQL|CSS|Java,641114
14,Master,Bangalore,ML Engineer,JavaScript|Python|Flask|C++|Java,1498849
3,PhD,Hyderabad,ML Engineer,Python|Node.js|C++,859755
1,Master,Chennai,ML Engineer,C++|SQL|CSS|Node.js,690110
12,Bachelor,Hyderabad,Data Scientist,Flask|Python|CSS|HTML|SQL,1281309
5,Bachelor,Bangalore,Backend Developer,Node.js|HTML|React|Python,770019
2,Bachelor,Chennai,DevOps Engineer,C++|SQL,590920
2,PhD,Chennai,DevOps Engineer,JavaScript|Node.js|Django|C++|SQL,815664
8,PhD,Bangalore,ML Engineer,Java,1118598
0,Bachelor,Pune,Frontend Developer,JavaScript|Python|Node.js|React|C++,492422
3,PhD,Hyderabad,Data Scientist,Java|HTML|Django,871874
13,PhD,Hyderabad,Backend Developer,JavaScript,1339270
4,Master,Delhi,Web Developer,Django|React|Node.js|HTML,803479
7,Master,Chennai,Frontend Developer,Node.js|SQL|C++|Python,970696
12,Bachelor,Pune,Data Scientist,Django|React,1222303
1,PhD,Mumbai,Data Scientist,SQL|React|HTML|Java,775185
5,Master,Hyderabad,Software Engineer,CSS|Flask|C++|SQL,835501
13,Bachelor,Pune,Backend Developer,Node.js|Python,1210356
2,Bachelor,Delhi,Data Scientist,React|Python,637925
12,Bachelor,Hyderabad,Backend Developer,SQL|React|HTML,1169560
11,PhD,Mumbai,DevOps Engineer,CSS|Flask,1272395
4,Master,Mumbai,Software Engineer,JavaScript|Django|Flask,755432
9,PhD,Hyderabad,Data Scientist,React|Python|Django|C++,1230643
4,PhD,Hyderabad,Frontend Developer,Node.js,791012
13,Master,Chennai,ML Engineer,Java|React,1366320
2,PhD,Chennai,Data Scientist,Python|SQL,788188
8,Bachelor,Bangalore,Web Developer,Flask,867897
0,Master,Hyderabad,Data Scientist,Python,557840
3,Bachelor,Chennai,ML Engineer,React|SQL|CSS|C++,762517
12,Bachelor,Mumbai,Data Scientist,C++|Django,1236289
15,Bachelor,Bangalore,Software Engineer,JavaScript,1268209
13,PhD,Bangalore,DevOps Engineer,CSS|Python|SQL|Django|Flask,1467736
2,Master,Mumbai,Web Developer,Java|HTML|Flask|JavaScript,668601
15,Master,Hyderabad,ML Engineer,Python,1487519
3,Bachelor,Bangalore,Software Engineer,JavaScript|Java|Flask|SQL|C++,637842
7,Bachelor,Pune,Data Scientist,React|CSS|Node.js|Java|JavaScript,1012544
3,Bachelor,Hyderabad,DevOps Engineer,CSS|SQL|Django|Python|Flask,747298
9,Master,Bangalore,DevOps Engineer,HTML|Java|Node.js|Flask|CSS,1169819
15,Bachelor,Delhi,Software Engineer,C++|JavaScript,1280705
12,PhD,Chennai,ML Engineer,React,1362863
7,Bachelor,Mumbai,Backend Developer,HTML|Node.js|Flask,879437
6,PhD,Bangalore,Software Engineer,Node.js|CSS|SQL|Flask,965638
2,Master,Mumbai,Data Scientist,React,676118
13,PhD,Delhi,Data Scientist,Flask|HTML|CSS,1453630
15,Bachelor,Chennai,DevOps Engineer,Node.js|Flask|Python|React|Java,1446641
8,Bachelor,Hyderabad,Software Engineer,HTML|Flask|React,904450
4,Bachelor,Mumbai,Data Scientist,React,695549
6,PhD,Chennai,Software Engineer,SQL|HTML|React,954362
4,Master,Bangalore,ML Engineer,CSS|Node.js|Python|SQL,891832
2,Master,Bangalore,DevOps Engineer,Java|SQL|CSS|Django,723078
1,Bachelor,Bangalore,ML Engineer,Django|CSS|HTML|JavaScript,644330
8,Master,Mumbai,Data Scientist,Node.js,1050025
8,PhD,Mumbai,Software Engineer,Node.js,1024315
5,Master,Bangalore,Data Scientist,Flask|Java|CSS|HTML,932170
7,Master,Bangalore,ML Engineer,Flask,1005925
14,PhD,Hyderabad,DevOps Engineer,Flask,1435998
5,Master,Pune,ML Engineer,C++|Python,882490
9,Master,Mumbai,Data Scientist,SQL,1079807
8,Bachelor,Chennai,Backend Developer,CSS|HTML|Java,920845
14,Master,Delhi,Web Developer,Node.js,1320657
0,Master,Chennai,Web Developer,SQL|Python|JavaScript,541185
5,Bachelor,Chennai,Software Engineer,Python|Flask|JavaScript|Django|HTML,789096
0,Bachelor,Mumbai,DevOps Engineer,SQL|Python,498126
7,Master,Bangalore,Backend Developer,C++,920646
2,Master,Mumbai,Frontend Developer,Django,600486
0,Bachelor,Bangalore,DevOps Engineer,React|HTML|JavaScript,506555
1,PhD,Mumbai,Software Engineer,Flask|Django|CSS,628126
7,Master,Bangalore,DevOps Engineer,HTML,969227
10,PhD,Chennai,Web Developer,Java|Django,1188905
7,PhD,Hyderabad,Frontend Developer,Python|CSS|Django|Flask,1058125
8,Bachelor,Pune,DevOps Engineer,SQL|Node.js|Python,981683
2,Bachelor,Chennai,DevOps Engineer,CSS|Django,601679
0,Bachelor,Delhi,Web Developer,C++|Django|Python,434281
3,PhD,Mumbai,DevOps Engineer,Node.js|React|HTML|Python|Flask,873674
3,Master,Mumbai,Frontend Developer,HTML|React,666706
2,Bachelor,Hyderabad,Software Engineer,HTML|Python|Java,561590
10,PhD,Chennai,DevOps Engineer,JavaScript|SQL|Node.js|C++|CSS,1306679
8,Master,Hyderabad,Frontend Developer,JavaScript|React|Java|Python|Node.js,1049744
15,Bachelor,Delhi,ML Engineer,C++|Flask|Python,1450123
0,Master,Bangalore,Web Developer,SQL,472055
1,Bachelor,Chennai,ML Engineer,Python,563123
6,PhD,Pune,Backend Developer,Java|Django|Node.js|Flask|JavaScript,1009051
1,PhD,Mumbai,DevOps Engineer,Python|Node.js|Java|SQL,732044
9,Bachelor,Pune,Frontend Developer,Django|CSS|Java,976542
8,Bachelor,Delhi,Backend Developer,Java|JavaScript|Flask|React,972605
11,Bachelor,Bangalore,Backend Developer,Node.js|Java|React|C++,1127504
14,PhD,Chennai,Data Scientist,Flask|C++,1495295
0,Master,Pune,Data Scientist,SQL|Python|Flask|React,641390
0,Bachelor,Pune,Data Scientist,Flask|C++|CSS,539054
13,Master,Pune,Frontend Developer,HTML|Java|C++|CSS|Django,1349532
8,PhD,Mumbai,DevOps Engineer,C++|Node.js|Django,1142275
9,Master,Mumbai,Backend Developer,HTML|Node.js|SQL,1094628
11,PhD,Chennai,Software Engineer,React|Node.js|Java|SQL,1253794
6,Master,Bangalore,Frontend Developer,React|SQL|HTML,883665
6,PhD,Hyderabad,Frontend Developer,SQL|Python|HTML,966675
13,PhD,Mumbai,DevOps Engineer,HTML|Python|Java|C++,1467235
7,PhD,Mumbai,Frontend Developer,Python|Django|CSS,1011749
1,Master,Chennai,Frontend Developer,Python|Java|HTML,567703
6,Bachelor,Delhi,DevOps Engineer,SQL,801840
14,Bachelor,Chennai,Web Developer,Python|React|Flask|C++,1317723
6,PhD,Hyderabad,Software Engineer,JavaScript,894418
9,Master,Chennai,Backend Developer,React|C++|Flask|HTML|Django,1126934
5,Bachelor,Delhi,Data Scientist,Python|Node.js|JavaScript,843127
9,Bachelor,Hyderabad,Frontend Developer,Node.js|React|JavaScript,981345
12,Bachelor,Mumbai,Frontend Developer,C++|Node.js|SQL,1165867
6,PhD,Hyderabad,Web Developer,CSS|HTML,915377
3,Bachelor,Bangalore,Backend Developer,C++|Flask,623921
7,Master,Hyderabad,ML Engineer,Django,996287
11,PhD,Hyderabad,Data Scientist,JavaScript|SQL,1310278
7,Master,Mumbai,Backend Developer,Python|HTML|React|JavaScript|Java,995706
2,Bachelor,Bangalore,Backend Developer,C++|HTML|JavaScript,594421
15,Bachelor,Chennai,Backend Developer,React|C++|Python|HTML|SQL,1410017
6,Bachelor,Bangalore,Data Scientist,React,841623
0,Bachelor,Chennai,Backend Developer,React,402902
8,PhD,Mumbai,ML Engineer,CSS|JavaScript|HTML,1180079
8,PhD,Hyderabad,Backend Developer,Django|JavaScript|Python|CSS|HTML,1122471
4,Bachelor,Mumbai,DevOps Engineer,JavaScript|Node.js,733851
11,PhD,Hyderabad,DevOps Engineer,Django|Node.js|HTML|SQL,1355616
14,Master,Pune,Web Developer,SQL,1304349
10,PhD,Delhi,Backend Developer,CSS,1160959
4,PhD,Bangalore,ML Engineer,React,902576
11,PhD,Delhi,Data Scientist,Node.js,1292278
15,Master,Chennai,Data Scientist,Flask|React|C++|HTML,1541386
10,PhD,Pune,Web Developer,React,1161843
0,Bachelor,Chennai,Software Engineer,CSS|Python|HTML,426116
12,Bachelor,Bangalore,ML Engineer,C++|JavaScript|Java|HTML|Flask,1304348
5,Master,Pune,Frontend Developer,CSS|SQL|React|Python|Django,875455
11,Bachelor,Delhi,DevOps Engineer,Node.js,1097602
14,PhD,Bangalore,Software Engineer,JavaScript,1378253
3,Master,Bangalore,Backend Developer,Django|HTML|Python|JavaScript|SQL,769441
4,Master,Bangalore,Frontend Developer,Node.js|JavaScript|C++|React|Flask,832792
1,Bachelor,Delhi,DevOps Engineer,C++|Python,536561
4,Bachelor,Chennai,Frontend Developer,HTML|Flask,662132
13,Bachelor,Bangalore,Data Scientist,CSS|JavaScript|Python|Flask,1339984
2,Bachelor,Mumbai,Data Scientist,Django|SQL|React|CSS,675199
11,Bachelor,Chennai,Software Engineer,Java,1021286
13,PhD,Chennai,Web Developer,Node.js|JavaScript|Django,1374093
15,Master,Mumbai,Backend Developer,React|JavaScript|Java|HTML,1468149
12,PhD,Pune,Web Developer,Node.js|Flask,1308465
3,Bachelor,Bangalore,Web Developer,C++|JavaScript,604151
0,PhD,Chennai,Data Scientist,CSS|Flask|Node.js|HTML,697002
14,Master,Delhi,Frontend Developer,C++|Flask|React|SQL|CSS,1411108
14,Master,Hyderabad,DevOps Engineer,JavaScript,1360722
8,PhD,Mumbai,ML Engineer,Python,1105200
4,Master,Pune,DevOps Engineer,Node.js|C++,816549
0,Master,Hyderabad,ML Engineer,Python|C++|JavaScript|CSS|SQL,656857
13,PhD,Mumbai,Backend Developer,Django|SQL|CSS,1390993
0,Master,Bangalore,ML Engineer,Java,583754
5,Master,Hyderabad,DevOps Engineer,Java|C++|Django,900501
6,Master,Chennai,Data Scientist,HTML,929400
4,Master,Hyderabad,Software Engineer,HTML,682855
8,PhD,Delhi,Frontend Developer,Flask,1018626
7,Master,Pune,Backend Developer,HTML|Node.js|React,972477
6,Bachelor,Delhi,DevOps Engineer,React|HTML,825230
15,Master,Chennai,ML Engineer,CSS|Node.js|HTML,1527711
0,Master,Hyderabad,Software Engineer,Django|CSS|SQL,511354
12,Master,Pune,Backend Developer,Node.js|Flask|Django|React,1281498
10,Bachelor,Mumbai,ML Engineer,JavaScript|HTML|Python,1142615
12,Bachelor,Mumbai,Data Scientist,JavaScript|SQL|Django,1245795
9,Bachelor,Delhi,Web Developer,Flask|CSS|SQL|HTML,1019854
0,Bachelor,Pune,Web Developer,HTML|C++|Python|Java,476312
15,PhD,Pune,ML Engineer,SQL|Flask|React|HTML,1619404
3,Master,Hyderabad,DevOps Engineer,JavaScript|HTML,754109
12,PhD,Chennai,Data Scientist,Flask|Django,1378382
3,Master,Bangalore,Web Developer,HTML|Node.js|React|Flask|Java,755408
6,Bachelor,Hyderabad,Backend Developer,HTML|Java,792053
5,PhD,Mumbai,Backend Developer,Node.js|Django|C++,921542
15,Bachelor,Hyderabad,ML Engineer,Node.js|Python|React,1459615
1,PhD,Pune,DevOps Engineer,C++,655927
2,Master,Bangalore,Data Scientist,Python|CSS|Flask,741341
6,Master,Chennai,Frontend Developer,CSS|JavaScript|Java|HTML|Node.js,942275
8,Master,Chennai,Software Engineer,HTML|Node.js|SQL|JavaScript,990237
15,Bachelor,Mumbai,Software Engineer,Flask|Java|JavaScript|CSS|SQL,1375306
11,Master,Pune,Web Developer,Java|Flask|Node.js|React|CSS,1223614
